eps,min_samples,n_clusters,n_noise,noise_ratio,silhouette,calinski,davies_bouldin
0.8854118033784308,3,13,51,1.7311608961303464,0.11478654127111663,209.67026852070194,1.8796609938461275
0.8854118033784308,4,9,76,2.5797691785471826,0.14119753903941581,300.87766666890343,2.4356853407755055
0.8854118033784308,5,9,87,2.9531568228105907,0.14185103160364151,301.96007701688876,2.4233987405753368
0.8854118033784308,6,9,99,3.360488798370672,0.14278756750110885,301.99845966196125,2.4104635151015548
0.8854118033784308,7,9,106,3.5980991174473864,0.1429652178580268,301.84434476310713,2.406813615395772
0.8854118033784308,8,10,120,4.0733197556008145,0.132002973532969,270.431881324776,2.2273875112665795
0.8854118033784308,9,9,154,5.227427019687712,0.14486531817853054,301.58717986371727,2.3783882284369273
0.8854118033784308,10,9,170,5.770536320434488,0.14483939072981114,301.62637742866656,2.3658267675811326
1.082169981906971,3,11,37,1.2559402579769179,0.1394036874149182,248.91697611692962,2.0831711770776327
1.082169981906971,4,9,47,1.5953835709436524,0.13912059588700224,300.41748333518944,2.45934079514974
1.082169981906971,5,9,49,1.6632722335369994,0.13938401681361573,300.79652758401164,2.4577836414303103
1.082169981906971,6,9,53,1.7990495587236932,0.13979905352773406,300.850185892957,2.4544193619973598
1.082169981906971,7,9,55,1.86693822131704,0.1402115545531902,300.9461518100101,2.450328609119618
1.082169981906971,8,9,59,2.002715546503734,0.14049280339830308,301.2919326522707,2.4448735769240306
1.082169981906971,9,9,63,2.1384928716904277,0.14108654905013587,301.28361505457195,2.4395080426141185
1.082169981906971,10,9,63,2.1384928716904277,0.14108654905013587,301.28361505457195,2.4395080426141185
1.2789281604355112,3,5,4,0.1357773251866938,0.47782997730282095,40.36315411758742,0.9441454731427127
1.2789281604355112,4,4,13,0.44127630685675495,0.4823106195108048,37.55827567965831,0.958885357936158
1.2789281604355112,5,3,19,0.6449422946367956,0.4896537931573296,43.12720730554254,0.8643774321493881
1.2789281604355112,6,1,33,1.120162932790224,-1.0,-1.0,999.0
1.2789281604355112,7,1,34,1.1541072640868975,-1.0,-1.0,999.0
1.2789281604355112,8,1,34,1.1541072640868975,-1.0,-1.0,999.0
1.2789281604355112,9,1,35,1.1880515953835709,-1.0,-1.0,999.0
1.2789281604355112,10,1,35,1.1880515953835709,-1.0,-1.0,999.0
1.4756863389640515,3,3,0,0.0,0.4925814578305497,86.68793019674007,0.7361624764814204
1.4756863389640515,4,3,3,0.10183299389002036,0.49042855505738425,77.60395080846999,0.9928335322432201
1.4756863389640515,5,2,8,0.2715546503733876,0.5058827177224826,126.96282772215699,0.6688429371877724
1.4756863389640515,6,2,10,0.3394433129667346,0.506114909729771,121.20165429171415,0.659869691048308
1.4756863389640515,7,2,12,0.40733197556008144,0.5057817471174976,109.25378659875462,0.6415086826491646
1.4756863389640515,8,3,14,0.47522063815342835,0.4925288580313865,52.79118653310966,1.047115038113015
1.4756863389640515,9,1,30,1.0183299389002036,-1.0,-1.0,999.0
1.4756863389640515,10,1,30,1.0183299389002036,-1.0,-1.0,999.0
1.6724445174925915,3,1,0,0.0,-1.0,-1.0,999.0
1.6724445174925915,4,1,0,0.0,-1.0,-1.0,999.0
1.6724445174925915,5,1,2,0.0678886625933469,-1.0,-1.0,999.0
1.6724445174925915,6,1,3,0.10183299389002036,-1.0,-1.0,999.0
1.6724445174925915,7,2,4,0.1357773251866938,0.5055367243445635,144.67193811249237,0.6885054769134349
1.6724445174925915,8,2,5,0.1697216564833673,0.5059430387400246,138.7629939374495,0.6857818243958722
1.6724445174925915,9,2,13,0.44127630685675495,0.5021486451629374,89.23107712406295,0.6333505808174138
1.6724445174925915,10,1,28,0.9504412763068567,-1.0,-1.0,999.0
1.8692026960211319,3,1,0,0.0,-1.0,-1.0,999.0
1.8692026960211319,4,1,0,0.0,-1.0,-1.0,999.0
1.8692026960211319,5,1,0,0.0,-1.0,-1.0,999.0
1.8692026960211319,6,1,0,0.0,-1.0,-1.0,999.0
1.8692026960211319,7,1,0,0.0,-1.0,-1.0,999.0
1.8692026960211319,8,1,1,0.03394433129667345,-1.0,-1.0,999.0
1.8692026960211319,9,2,3,0.10183299389002036,0.5045362541449984,138.09513395079543,0.6816647287168153
1.8692026960211319,10,2,3,0.10183299389002036,0.5045362541449984,138.09513395079543,0.6816647287168153
2.0659608745496723,3,1,0,0.0,-1.0,-1.0,999.0
2.0659608745496723,4,1,0,0.0,-1.0,-1.0,999.0
2.0659608745496723,5,1,0,0.0,-1.0,-1.0,999.0
2.0659608745496723,6,1,0,0.0,-1.0,-1.0,999.0
2.0659608745496723,7,1,0,0.0,-1.0,-1.0,999.0
2.0659608745496723,8,1,0,0.0,-1.0,-1.0,999.0
2.0659608745496723,9,1,0,0.0,-1.0,-1.0,999.0
2.0659608745496723,10,1,0,0.0,-1.0,-1.0,999.0
2.262719053078212,3,1,0,0.0,-1.0,-1.0,999.0
2.262719053078212,4,1,0,0.0,-1.0,-1.0,999.0
2.262719053078212,5,1,0,0.0,-1.0,-1.0,999.0
2.262719053078212,6,1,0,0.0,-1.0,-1.0,999.0
2.262719053078212,7,1,0,0.0,-1.0,-1.0,999.0
2.262719053078212,8,1,0,0.0,-1.0,-1.0,999.0
2.262719053078212,9,1,0,0.0,-1.0,-1.0,999.0
2.262719053078212,10,1,0,0.0,-1.0,-1.0,999.0
2.459477231606752,3,1,0,0.0,-1.0,-1.0,999.0
2.459477231606752,4,1,0,0.0,-1.0,-1.0,999.0
2.459477231606752,5,1,0,0.0,-1.0,-1.0,999.0
2.459477231606752,6,1,0,0.0,-1.0,-1.0,999.0
2.459477231606752,7,1,0,0.0,-1.0,-1.0,999.0
2.459477231606752,8,1,0,0.0,-1.0,-1.0,999.0
2.459477231606752,9,1,0,0.0,-1.0,-1.0,999.0
2.459477231606752,10,1,0,0.0,-1.0,-1.0,999.0
2.6562354101352925,3,1,0,0.0,-1.0,-1.0,999.0
2.6562354101352925,4,1,0,0.0,-1.0,-1.0,999.0
2.6562354101352925,5,1,0,0.0,-1.0,-1.0,999.0
2.6562354101352925,6,1,0,0.0,-1.0,-1.0,999.0
2.6562354101352925,7,1,0,0.0,-1.0,-1.0,999.0
2.6562354101352925,8,1,0,0.0,-1.0,-1.0,999.0
2.6562354101352925,9,1,0,0.0,-1.0,-1.0,999.0
2.6562354101352925,10,1,0,0.0,-1.0,-1.0,999.0
